=== FINDINGS ===
[catch-all] apps/studio/src/store.ts:163 -- bare catch-all with no rethrow/reject/error-return/logging in body
[fire-and-forget] packages/render-core/src/fs/conformance.ts:56 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/fs/conformance.ts:60 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/fs/conformance.ts:61 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/fs/conformance.ts:64 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/fs/conformance.ts:65 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/fs/conformance.ts:67 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/fs/conformance.ts:73 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/fs/conformance.ts:74 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/fs/conformance.ts:75 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/fs/conformance.ts:76 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/fs/conformance.ts:77 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/fs/conformance.ts:78 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/fs/conformance.ts:79 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/fs/conformance.ts:80 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/fs/conformance.ts:84 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/fs/conformance.ts:85 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/fs/conformance.ts:86 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/fs/conformance.ts:90 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/fs/conformance.ts:91 -- await with no try/catch or .catch() in nearby context
[fire-and-forget] packages/render-core/src/fs/conformance.ts:92 -- await with no try/catch or .catch() in nearby context
